symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2025-04-04 04:00:00+00:00,255.38,261.0,236.0,239.43,181229079.0,2734593.0,244.356308
TSLA,2025-04-07 04:00:00+00:00,223.78,252.0,214.25,233.29,183453776.0,2843798.0,230.198623
TSLA,2025-04-08 04:00:00+00:00,245.0,250.44,217.8,221.86,171586762.0,2360023.0,235.466454
TSLA,2025-04-09 04:00:00+00:00,224.69,274.69,223.88,272.2,219413231.0,2862321.0,249.494756
TSLA,2025-04-10 04:00:00+00:00,260.0,262.49,239.33,252.4,181722604.0,2332728.0,250.851654
TSLA,2025-04-11 04:00:00+00:00,251.84,257.74,241.3629,252.31,128948085.0,1584325.0,248.452539
TSLA,2025-04-14 04:00:00+00:00,258.36,261.8,245.93,252.35,100135241.0,1321953.0,252.627362
TSLA,2025-04-15 04:00:00+00:00,249.91,258.75,247.54,254.11,79594318.0,970817.0,254.232462
TSLA,2025-04-16 04:00:00+00:00,247.61,251.97,233.89,241.55,112378737.0,1349129.0,243.577152
TSLA,2025-04-17 04:00:00+00:00,243.47,244.34,237.6833,241.37,83403802.0,910557.0,240.942114
TSLA,2025-04-21 04:00:00+00:00,230.26,232.21,222.79,227.5,97768007.0,1388841.0,225.801338
TSLA,2025-04-22 04:00:00+00:00,230.96,242.79,229.8501,237.97,120858152.0,1540238.0,237.244623
TSLA,2025-04-23 04:00:00+00:00,254.86,259.4499,244.43,250.74,150381903.0,1936456.0,253.15678
TSLA,2025-04-24 04:00:00+00:00,250.5,259.54,249.2,259.51,94464195.0,1203317.0,255.494543
TSLA,2025-04-25 04:00:00+00:00,261.69,286.85,259.63,284.95,167560688.0,2065772.0,278.37792
TSLA,2025-04-28 04:00:00+00:00,288.98,294.86,272.42,285.88,151731771.0,1914021.0,282.704404
TSLA,2025-04-29 04:00:00+00:00,285.5,293.32,279.4695,292.03,108906553.0,1298014.0,285.175799
TSLA,2025-04-30 04:00:00+00:00,279.9,284.45,270.78,282.16,128961057.0,1589240.0,278.137209
TSLA,2025-05-01 04:00:00+00:00,280.01,290.8688,279.81,280.52,99658974.0,1267297.0,284.566062
TSLA,2025-05-02 04:00:00+00:00,284.9,294.78,279.81,287.21,114454683.0,1395354.0,288.191999
